sender_account,sender_name,receiver_account,receiver_name,amount,timestamp,purpose,bank
3000000000001,Mohammed Irfan,2000000000001,Suresh Agarwal,3703608,2026-06-26 09:43:40,business payment,Axis Bank
1000000000001,Vikram Sharma,2000000000003,Suresh Agarwal,2781111,2026-06-15 17:33:45,business payment,ICICI
1000000000001,Vikram Sharma,2000000000003,Suresh Agarwal,4176947,2026-07-09 16:40:58,consultation fee,ICICI
1000000000001,Vikram Sharma,4000000000002,Deepak Chauhan,4471457,2026-08-07 04:32:51,property,SBI
1000000000002,Vikram Sharma,2000000000003,Suresh Agarwal,2106108,2026-07-29 00:39:40,loan repayment,PNB
4000000000002,Deepak Chauhan,2000000000002,Suresh Agarwal,1969755,2026-06-27 10:14:12,loan repayment,ICICI
4000000000002,Deepak Chauhan,2000000000003,Suresh Agarwal,2682605,2026-06-26 06:59:01,consultation fee,HDFC
4000000000001,Deepak Chauhan,2000000000001,Suresh Agarwal,3129283,2026-08-14 07:37:12,business payment,Axis Bank
4000000000001,Deepak Chauhan,1000000000001,Vikram Sharma,3392090,2026-06-04 13:30:24,consultation fee,PNB
1000000000002,Vikram Sharma,2000000000002,Suresh Agarwal,1375353,2026-07-27 05:31:33,property,SBI
1000000000001,Vikram Sharma,2000000000001,Suresh Agarwal,4622543,2026-06-01 06:46:52,investment,HDFC
2000000000002,Suresh Agarwal,2000000000003,Suresh Agarwal,941000,2026-06-21 18:35:32,consultation fee,ICICI
2000000000003,Suresh Agarwal,1000000000001,Vikram Sharma,548644,2026-06-04 16:44:50,investment,Axis Bank
4000000000001,Deepak Chauhan,2000000000002,Suresh Agarwal,2325584,2026-06-27 08:57:02,business payment,ICICI
2000000000002,Suresh Agarwal,4000000000002,Deepak Chauhan,3303962,2026-07-16 08:16:21,consultation fee,SBI
2000000000003,Suresh Agarwal,1000000000001,Vikram Sharma,2942269,2026-08-24 02:37:51,investment,HDFC
4000000000001,Deepak Chauhan,2000000000002,Suresh Agarwal,1034677,2026-07-27 09:23:19,property,SBI
3000000000001,Mohammed Irfan,2000000000002,Suresh Agarwal,1764052,2026-06-24 08:57:36,gift,PNB
2000000000002,Suresh Agarwal,3000000000001,Mohammed Irfan,1096594,2026-06-14 08:35:56,consultation fee,SBI
1000000000001,Vikram Sharma,2000000000003,Suresh Agarwal,1737729,2026-06-14 00:45:23,property,HDFC
4000000000002,Deepak Chauhan,2000000000002,Suresh Agarwal,1799690,2026-07-12 07:56:10,investment,HDFC
2000000000001,Suresh Agarwal,2000000000003,Suresh Agarwal,3846572,2026-08-04 12:27:56,loan repayment,SBI
4000000000001,Deepak Chauhan,2000000000001,Suresh Agarwal,4549612,2026-08-06 11:14:49,investment,Axis Bank
1000000000002,Vikram Sharma,2000000000003,Suresh Agarwal,1904012,2026-07-13 01:38:25,loan repayment,Axis Bank
3000000000001,Mohammed Irfan,4000000000001,Deepak Chauhan,197487,2026-06-21 02:58:12,investment,HDFC
4000000000002,Deepak Chauhan,2000000000003,Suresh Agarwal,1235163,2026-06-16 20:38:30,gift,HDFC
4000000000001,Deepak Chauhan,2000000000003,Suresh Agarwal,2130344,2026-07-16 18:55:18,business payment,SBI
2000000000003,Suresh Agarwal,2000000000001,Suresh Agarwal,2332544,2026-07-04 06:51:09,consultation fee,PNB
2000000000003,Suresh Agarwal,2000000000003,Suresh Agarwal,4316950,2026-06-16 01:59:37,business payment,SBI
1000000000002,Vikram Sharma,2000000000001,Suresh Agarwal,75719,2026-07-22 13:11:38,investment,HDFC
2000000000003,Suresh Agarwal,1000000000001,Vikram Sharma,4623439,2026-08-11 23:14:44,consultation fee,HDFC
2000000000002,Suresh Agarwal,1000000000001,Vikram Sharma,4645381,2026-06-24 13:46:39,investment,PNB
3000000000001,Mohammed Irfan,2000000000001,Suresh Agarwal,513810,2026-08-21 04:13:55,loan repayment,SBI
2000000000003,Suresh Agarwal,2000000000002,Suresh Agarwal,1874743,2026-06-27 08:36:42,gift,ICICI
4000000000001,Deepak Chauhan,2000000000003,Suresh Agarwal,2401036,2026-07-02 20:53:21,property,ICICI
2000000000001,Suresh Agarwal,2000000000002,Suresh Agarwal,3666069,2026-06-11 16:14:02,consultation fee,Axis Bank
2000000000001,Suresh Agarwal,2000000000003,Suresh Agarwal,2966235,2026-08-18 00:12:52,property,HDFC
1000000000001,Vikram Sharma,2000000000001,Suresh Agarwal,4765004,2026-07-12 06:51:51,investment,ICICI
3000000000001,Mohammed Irfan,2000000000002,Suresh Agarwal,3710287,2026-07-10 06:18:56,consultation fee,HDFC
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,658462,2026-08-11 06:59:36,loan repayment,Axis Bank
4000000000001,Deepak Chauhan,2000000000003,Suresh Agarwal,2152578,2026-07-08 14:46:18,investment,SBI
3000000000001,Mohammed Irfan,1000000000001,Vikram Sharma,4742668,2026-07-18 08:14:55,consultation fee,ICICI
2000000000001,Suresh Agarwal,2000000000001,Suresh Agarwal,1077405,2026-08-08 19:18:58,consultation fee,SBI
2000000000003,Suresh Agarwal,2000000000003,Suresh Agarwal,3632621,2026-06-04 21:55:29,gift,PNB
2000000000003,Suresh Agarwal,2000000000002,Suresh Agarwal,1084565,2026-08-11 18:17:06,property,Axis Bank
3000000000001,Mohammed Irfan,1000000000001,Vikram Sharma,2651831,2026-08-13 04:22:56,investment,HDFC
2000000000001,Suresh Agarwal,1000000000001,Vikram Sharma,3651097,2026-06-15 23:21:19,property,ICICI
3000000000001,Mohammed Irfan,2000000000001,Suresh Agarwal,4018048,2026-06-23 07:33:13,investment,SBI
2000000000002,Suresh Agarwal,4000000000001,Deepak Chauhan,3048745,2026-06-21 05:47:21,property,ICICI
1000000000002,Vikram Sharma,3000000000001,Mohammed Irfan,7556,2026-06-06 05:36:33,loan repayment,PNB
2000000000001,Suresh Agarwal,1000000000001,Vikram Sharma,287433,2026-08-25 11:31:26,gift,Axis Bank
3000000000001,Mohammed Irfan,2000000000002,Suresh Agarwal,3099845,2026-06-26 09:01:07,consultation fee,SBI
3000000000001,Mohammed Irfan,2000000000002,Suresh Agarwal,3733031,2026-07-22 20:47:44,loan repayment,SBI
4000000000002,Deepak Chauhan,1000000000001,Vikram Sharma,3631704,2026-08-22 05:47:38,gift,HDFC
2000000000001,Suresh Agarwal,2000000000003,Suresh Agarwal,4354669,2026-08-20 04:03:20,gift,PNB
1000000000002,Vikram Sharma,2000000000002,Suresh Agarwal,603680,2026-08-09 06:23:27,business payment,Axis Bank
2000000000001,Suresh Agarwal,1000000000001,Vikram Sharma,3942534,2026-06-07 21:48:57,gift,ICICI
2000000000002,Suresh Agarwal,2000000000003,Suresh Agarwal,3448378,2026-06-11 19:10:15,consultation fee,PNB
2000000000001,Suresh Agarwal,3000000000001,Mohammed Irfan,1409748,2026-06-20 08:09:21,investment,PNB
2000000000002,Suresh Agarwal,4000000000002,Deepak Chauhan,668791,2026-06-06 21:58:45,loan repayment,HDFC
2000000000003,Suresh Agarwal,3000000000001,Mohammed Irfan,3909218,2026-07-19 19:35:17,gift,PNB
2000000000001,Suresh Agarwal,3000000000001,Mohammed Irfan,1115011,2026-08-16 13:23:40,loan repayment,HDFC
2000000000002,Suresh Agarwal,2000000000003,Suresh Agarwal,3290645,2026-07-25 00:44:01,gift,Axis Bank
2000000000002,Suresh Agarwal,4000000000002,Deepak Chauhan,4298397,2026-08-08 21:59:58,consultation fee,PNB
2000000000003,Suresh Agarwal,1000000000001,Vikram Sharma,2528537,2026-08-10 17:59:29,business payment,SBI
1000000000001,Vikram Sharma,2000000000002,Suresh Agarwal,436132,2026-07-23 04:29:14,investment,Axis Bank
4000000000002,Deepak Chauhan,2000000000003,Suresh Agarwal,423295,2026-08-15 04:35:17,gift,PNB
1000000000001,Vikram Sharma,2000000000001,Suresh Agarwal,211099,2026-08-08 04:58:51,business payment,PNB
3000000000001,Mohammed Irfan,2000000000001,Suresh Agarwal,2475581,2026-06-22 03:53:45,property,ICICI
2000000000002,Suresh Agarwal,1000000000001,Vikram Sharma,1280886,2026-08-08 07:38:42,business payment,SBI
4000000000002,Deepak Chauhan,2000000000001,Suresh Agarwal,4382840,2026-05-28 17:19:00,loan repayment,PNB
2000000000002,Suresh Agarwal,1000000000001,Vikram Sharma,1896279,2026-06-10 15:26:07,gift,HDFC
2000000000002,Suresh Agarwal,4000000000002,Deepak Chauhan,1970701,2026-07-23 02:26:57,investment,PNB
2000000000002,Suresh Agarwal,3000000000001,Mohammed Irfan,4645759,2026-08-03 14:27:33,gift,Axis Bank
1000000000002,Vikram Sharma,2000000000002,Suresh Agarwal,2975335,2026-08-20 20:48:52,loan repayment,SBI
4000000000002,Deepak Chauhan,1000000000001,Vikram Sharma,2955381,2026-06-24 15:58:21,business payment,Axis Bank
4000000000002,Deepak Chauhan,2000000000001,Suresh Agarwal,4470739,2026-05-29 10:31:13,consultation fee,PNB
3000000000001,Mohammed Irfan,1000000000002,Vikram Sharma,2233617,2026-07-02 22:39:01,consultation fee,Axis Bank
2000000000002,Suresh Agarwal,2000000000002,Suresh Agarwal,3457468,2026-06-26 18:45:30,business payment,SBI
3000000000001,Mohammed Irfan,4000000000002,Deepak Chauhan,4023345,2026-08-05 16:30:49,property,HDFC
3000000000001,Mohammed Irfan,2000000000002,Suresh Agarwal,120684,2026-06-23 15:07:02,property,HDFC
4000000000001,Deepak Chauhan,2000000000001,Suresh Agarwal,2211519,2026-07-30 04:53:01,gift,HDFC
1000000000002,Vikram Sharma,4000000000001,Deepak Chauhan,1405077,2026-08-03 08:44:00,loan repayment,PNB
1000000000002,Vikram Sharma,2000000000001,Suresh Agarwal,456111,2026-05-30 14:22:45,loan repayment,PNB
3000000000001,Mohammed Irfan,2000000000002,Suresh Agarwal,1275878,2026-07-19 12:09:32,investment,PNB
2000000000003,Suresh Agarwal,2000000000003,Suresh Agarwal,3761349,2026-07-15 17:05:56,loan repayment,Axis Bank
1000000000002,Vikram Sharma,2000000000001,Suresh Agarwal,2798863,2026-08-18 12:34:44,business payment,SBI
1000000000002,Vikram Sharma,2000000000002,Suresh Agarwal,2127460,2026-07-28 16:39:33,property,SBI
3000000000001,Mohammed Irfan,4000000000001,Deepak Chauhan,1556849,2026-08-14 09:03:22,business payment,ICICI
2000000000003,Suresh Agarwal,2000000000001,Suresh Agarwal,672427,2026-06-11 20:43:11,business payment,PNB
1000000000001,Vikram Sharma,2000000000003,Suresh Agarwal,4128454,2026-08-17 01:27:05,property,ICICI
3000000000001,Mohammed Irfan,1000000000002,Vikram Sharma,2779490,2026-08-17 09:20:30,business payment,Axis Bank
3000000000001,Mohammed Irfan,2000000000001,Suresh Agarwal,2156070,2026-08-13 08:50:21,gift,SBI
1000000000001,Vikram Sharma,2000000000001,Suresh Agarwal,4482299,2026-06-24 11:51:00,investment,SBI
1000000000002,Vikram Sharma,2000000000001,Suresh Agarwal,2870245,2026-08-24 09:07:08,gift,SBI
1000000000002,Vikram Sharma,2000000000001,Suresh Agarwal,1733438,2026-07-21 03:57:49,consultation fee,SBI
2000000000003,Suresh Agarwal,4000000000001,Deepak Chauhan,876632,2026-07-02 06:44:09,consultation fee,ICICI
2000000000003,Suresh Agarwal,2000000000001,Suresh Agarwal,2816441,2026-07-03 15:05:08,business payment,PNB
2000000000003,Suresh Agarwal,2000000000001,Suresh Agarwal,2453308,2026-08-14 10:55:07,gift,ICICI
4000000000001,Deepak Chauhan,1000000000001,Vikram Sharma,3851652,2026-08-10 13:09:49,property,HDFC
4000000000001,Deepak Chauhan,3000000000001,Mohammed Irfan,4572790,2026-08-06 10:28:35,property,ICICI
1000000000001,Vikram Sharma,2000000000003,Suresh Agarwal,3055324,2026-06-24 11:16:31,consultation fee,Axis Bank
4000000000002,Deepak Chauhan,2000000000002,Suresh Agarwal,4522095,2026-08-06 07:51:37,loan repayment,ICICI
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,2424391,2026-07-31 02:05:56,loan repayment,Axis Bank
2000000000003,Suresh Agarwal,4000000000002,Deepak Chauhan,3293791,2026-07-21 07:42:34,property,ICICI
2000000000003,Suresh Agarwal,2000000000002,Suresh Agarwal,3335943,2026-06-28 07:21:27,business payment,PNB
1000000000001,Vikram Sharma,2000000000001,Suresh Agarwal,1947768,2026-08-18 18:09:16,consultation fee,PNB
2000000000002,Suresh Agarwal,3000000000001,Mohammed Irfan,4942927,2026-07-27 16:33:15,consultation fee,Axis Bank
1000000000002,Vikram Sharma,3000000000001,Mohammed Irfan,4369379,2026-08-09 10:25:59,gift,Axis Bank
1000000000002,Vikram Sharma,2000000000001,Suresh Agarwal,4627088,2026-07-12 21:47:54,consultation fee,ICICI
2000000000003,Suresh Agarwal,2000000000002,Suresh Agarwal,564773,2026-08-25 21:02:34,consultation fee,SBI
2000000000001,Suresh Agarwal,3000000000001,Mohammed Irfan,71702,2026-06-21 23:53:05,loan repayment,PNB
3000000000001,Mohammed Irfan,1000000000002,Vikram Sharma,3406523,2026-07-04 00:15:16,gift,HDFC
